Project Name,Address,Area (sqm),Type of Area,Transacted Price ($),Unit Price ($ psm),Unit Price ($ psf),Contract Date,Property Type,Tenure,Type of Sale,Postal District,Postal Sector,Postal Code,Planning Region,Planning Area
THE BENCOOLEN,180 Bencoolen Street #01 -58,25,Strata,1070000,42800,3976,15-Jan-19,Retail,99 Yrs From 24/06/1995,Resale,7,18,189646,Central Region,Rochor
PARKLANE SHOPPING MALL,35 Selegie Road #10 -06,64,Strata,813020,12703,1180,14-Jan-19,Office,99 Yrs From 01/12/1974,Resale,7,18,188307,Central Region,Rochor
TONG ENG BUILDING,101 Cecil Street #16 -12,114,Strata,3190200,27984,2600,14-Jan-19,Office,999 Yrs From 08/06/1885,Resale,1,6,69533,Central Region,Downtown Core
PENINSULA EXCELSIOR HOTEL,5 Coleman Street #03 -17,23,Strata,288000,12522,1163,11-Jan-19,Retail,99 Yrs From 17/08/1979,Resale,6,17,179805,Central Region,Downtown Core
THE OCTAGON,"105 Cecil Street #14 -01,02,03,04 ETC",1725,Strata,45489150,26371,2450,10-Jan-19,Office,Freehold,Resale,1,6,69534,Central Region,Downtown Core
SELETAR HILLS ESTATE,"32,32A Jalan Kelulut",352,Land,3700000,10508,976,10-Jan-19,Shop House,Freehold,Resale,28,80,809049,North East Region,Serangoon
SUNSHINE PLAZA,91 Bencoolen Street #01 -59,23,Strata,1100000,47826,4443,8-Jan-19,Retail,99 Yrs From 19/03/1997,Resale,7,18,189652,Central Region,Rochor
FAR EAST SHOPPING CENTRE,545 Orchard Road #02 -23,15,Strata,750000,50000,4645,7-Jan-19,Retail,999 Yrs From 30/10/1871,Resale,9,23,238882,Central Region,Orchard
N.A.,3 Simon Road,130,Land,4350000,33410,3104,3-Jan-19,Shop House,Freehold,Resale,19,54,545892,North East Region,Hougang
ROBINSON SQUARE,144 Robinson Road #19 -02,110,Strata,2475000,22500,2090,3-Jan-19,Retail,Freehold,Resale,1,6,68908,Central Region,Downtown Core
TANJONG PAGAR CONSERVATION AREA,37 Duxton Road,100,Land,5650000,56500,5249,3-Jan-19,Shop House,99 Yrs From 28/03/1988,Resale,2,8,89501,Central Region,Outram
PAYA LEBAR SQUARE,60 Paya Lebar Road #05 -07,67,Strata,1550000,23134,2149,3-Jan-19,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
FAR EAST PLAZA,14 Scotts Road #02 -98,27,Strata,1500000,55556,5161,2-Jan-19,Retail,Freehold,Resale,9,22,228213,Central Region,Orchard
N.A.,"17,17A,19,19A Tai Thong Crescent",294,Land,6500000,22116,2055,2-Jan-19,Shop House,Freehold,Resale,13,34,347853,Central Region,Toa Payoh
N.A.,11 Simon Road,130,Land,3080000,23620,2194,28-Dec-18,Retail,Freehold,Resale,19,54,545896,North East Region,Hougang
N.A.,"115,117 Owen Road",315,Land,800000,2541,236,27-Dec-18,Shop House,99 Yrs From 01/03/1959,Resale,8,21,218923,Central Region,Kallang
THE PLAZA,7500A Beach Road #04 -310,29,Strata,362000,12483,1160,27-Dec-18,Office,99 Yrs From 03/09/1968,Resale,7,19,199591,Central Region,Kallang
N.A.,36 Armenian Street #04 -02,149,Strata,3300000,22148,2058,27-Dec-18,Office,99 Yrs From 21/09/2007,Resale,6,17,179934,Central Region,Museum
FAR EAST SHOPPING CENTRE,545 Orchard Road #03 -32,24,Strata,1010000,42083,3910,27-Dec-18,Retail,999 Yrs From 30/10/1871,Resale,9,23,238882,Central Region,Orchard
LUCKY PLAZA,304 Orchard Road #01 -53,26,Strata,3000000,115385,10719,26-Dec-18,Retail,Freehold,Resale,9,23,238863,Central Region,Orchard
BUKIT PASOH EXTNSN CONSTN AREA,29 Keong Saik Road,143,Land,16480000,115487,10729,26-Dec-18,Shop House,Freehold,Resale,2,8,89136,Central Region,Outram
ORCHID HOTEL,1 Tras Link #02 -13,16,Strata,502980,31436,2920,26-Dec-18,Retail,99 Yrs From 02/10/2007,Resale,2,7,78867,Central Region,Outram
THE CENTRAL,8 Eu Tong Sen Street #18 -92,82,Strata,2869750,34997,3251,26-Dec-18,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
SULTAN PLAZA,100 Jalan Sultan #02 -44,49,Strata,738416,15070,1400,21-Dec-18,Office,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
GOLDEN MILE TOWER,6001 Beach Road #02 -63,20,Strata,370000,18500,1719,21-Dec-18,Retail,99 Yrs From 09/06/1969,Resale,7,19,199589,Central Region,Kallang
THE GOLDEN LANDMARK,390 Victoria Street #03 -04,33,Strata,750000,22727,2111,21-Dec-18,Office,99 Yrs From 30/04/1981,Resale,7,18,188061,Central Region,Rochor
GRANDLINK SQUARE,511 Guillemard Road #01 -56,18,Strata,628000,34889,3241,21-Dec-18,Retail,Freehold,Resale,14,39,399849,Central Region,Geylang
SIM LIM SQUARE,1 Rochor Canal Road #03 -27,38,Strata,860000,22632,2103,21-Dec-18,Retail,99 Yrs From 08/04/1983,Resale,7,18,188504,Central Region,Rochor
PAYA LEBAR SQUARE,60 Paya Lebar Road #12 -40,47,Strata,1000000,21277,1977,21-Dec-18,Office,99 Yrs From 25/07/2011,Resale,14,40,409051,Central Region,Geylang
HIGH STREET CENTRE,1 North Bridge Road #18 -03,51,Strata,960750,18838,1750,21-Dec-18,Office,99 Yrs From 02/06/1969,Resale,6,17,179094,Central Region,Downtown Core
SULTAN PLAZA,100 Jalan Sultan #05 -40,33,Strata,532500,16136,1499,20-Dec-18,Retail,99 Yrs From 02/05/1978,Resale,7,19,199001,Central Region,Kallang
HIGH STREET PLAZA,77 High Street #03 -06,72,Strata,1580000,21944,2039,20-Dec-18,Office,999 Yrs From 11/06/1827,Resale,6,17,179433,Central Region,Downtown Core
ORCHARD TOWERS,400 Orchard Road #03 -04,30,Strata,1388000,46267,4298,20-Dec-18,Retail,Freehold,Resale,9,23,238875,Central Region,Orchard
THE CENTRAL,8 Eu Tong Sen Street #20 -85,86,Strata,2222400,25842,2401,19-Dec-18,Office,99 Yrs From 02/01/2001,Resale,1,5,59818,Central Region,Singapore River
